"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.5314545946953","71.5961871480989","71.6454062167625","71.5954747938185","71.5934383525441","71.6765456533696","71.6759766669294","71.6310954774331","71.5970516468438","71.5688373551692","71.5517603460931","71.5554084134197","71.6111530682236","71.6685334560085","71.7175178968354","71.7819069855238","71.6592866051966","71.4704831478121","71.2882923715279","70.9094265174379","70.2403429593183","70.3331620917184","70.1518665087037","70.1535853565148","70.0534876948858","70.200492311037","70.2119098143297","70.2589185977296","70.0084479061906","70.0101482539488","69.0062505148376","69.5377981560109","69.9978957266249",
"Afghanistan","AFG","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.031","47.026","47.007","46.967","46.915","46.864","46.806","46.767","46.749","46.75","46.758","46.791","46.844","46.908","46.979","47.057","47.006","46.963","46.929","46.9","46.874","46.908","46.96","47.03","47.1","47.17","47.24","47.31","47.394","47.487","41.58","","",
"Africa Western and Central","AFW","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.1093761046471","66.0824867546792","66.0133411449491","65.927642537131","65.8118569163052","65.6907664754783","65.6178536874236","65.5359223286331","65.4515345144341","65.3597760238005","65.2650997725459","65.2133613021566","65.1552763944655","65.0721558604903","65.0128426478329","64.9110515883609","64.8350063285024","64.7318502673414","64.5252139009069","64.3037925161239","64.0681200682395","63.8992692322377","62.4439601965828","60.9530656380903","60.8933756938466","61.0250070480461","61.3382320694189","61.3286361691277","61.6026917955267","61.8775954004998","61.1734465496634","61.3800187136702","61.8348389191167",
"Angola","AGO","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.387","77.412","77.424","77.424","77.414","77.392","77.396","77.386","77.365","77.335","77.298","77.295","77.281","77.261","77.24","77.222","77.237","77.248","77.255","77.26","77.26","77.32","77.333","77.335","77.328","77.311","77.298","77.273","77.238","77.193","76.459","76.501","76.873",
"Albania","ALB","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.016","64.739","65.365","64.48","63.727","62.627","61.885","62.758","62.029","61.06","60.531","59.921","59.61","58.557","57.495","56.427","55.353","54.273","53.19","54.99","55.2","59.94","56.99","52.42","53.42","55.5","57.31","58.06","59.3","60.31","56.845","58.828","59.363",
"Andorra","AND","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4800291577576","47.5323393456611","47.7440744635804","47.9920650021187","48.1673855992246","47.9272756545821","47.7267700761965","47.5222527827302","47.2745379867034","47.6675381122274","47.4034475431486","46.8942387296096","46.2869866321953","46.4655660408415","46.629111092181","46.7923337125441","47.0007111460003","47.2813915799877","47.2431761967296","47.3474426630089","47.8239623057398","47.795527517079","47.7795895899276","48.0143665959516","47.7258647298592","47.6756321413819","47.6895526005606","46.9705141817197","46.630030933171","46.5491964879039","45.525563436008","45.5594791856528","45.9599494323017",
"United Arab Emirates","ARE","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.694","73.023","73.385","73.956","74.363","74.79","74.895","74.487","74.198","74.071","74.137","74.45","74.983","75.693","76.544","77.043","76.857","76.496","76.479","76.952","77.708","78.483","79.132","79.675","80.144","80.572","81.035","81.524","81.987","82.474","82.175","81.316","82.209",
"Argentina","ARG","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.07","59.941","60.685","61.461","61.979","61.495","61.987","62.763","63.072","62.54","62.319","61.662","60.174","61.048","61.94","61.51","61.8","61.117","60.43","60.78","60.19","60.65","60.36","59.96","59.44","59.23","59.02","58.81","59.6","60.29","56.02","60.36","60.222",
